Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2018-03-16,38.363,39.635,38.266,38.894,842184
2018-03-19,39.249,39.249,36.912,38.007,177766
2018-03-20,38.169,39.571,38.169,38.201,219750
2018-03-21,38.943,39.492,38.684,39.201,177729
2018-03-22,39.33,39.492,38.701,39.04,92528
2018-03-23,38.943,38.943,37.668,38.233,84987
2018-03-26,38.233,38.282,36.428,36.428,131386
2018-03-27,36.992,38.218,36.992,37.992,169071
2018-03-28,38.443,38.443,37.17,38.007,118986
2018-03-29,37.879,38.572,36.267,36.267,220639
2018-04-03,36.267,37.46,36.267,36.718,156995
2018-04-04,37.378,37.378,36.154,36.428,100196
2018-04-05,36.654,37.217,36.509,36.718,52207
2018-04-06,36.992,38.282,36.735,37.879,109591
2018-04-09,37.958,38.041,37.331,37.797,85171
2018-04-10,37.943,38.153,37.492,38.041,199614
2018-04-11,37.797,38.201,37.363,37.363,261957
2018-04-12,37.315,38.427,37.104,37.394,107013
2018-04-13,37.363,37.476,36.541,36.718,46049
2018-04-16,36.799,36.799,36.187,36.461,53354
2018-04-17,36.444,36.669,35.461,36.01,94170
2018-04-18,35.815,36.88,35.815,36.509,57655
2018-04-19,36.896,37.104,36.3,36.751,87088
2018-04-20,36.751,36.751,36.541,36.669,61296
2018-04-23,36.267,36.767,36.267,36.509,60078
2018-04-24,36.59,36.702,35.977,36.17,70724
2018-04-25,36.187,36.428,35.943,35.943,50164
2018-04-26,36.267,36.669,36.105,36.267,70179
2018-04-27,36.395,36.637,35.574,35.784,47361
2018-04-30,35.992,36.524,35.461,35.461,121920
2018-05-02,35.477,36.59,35.477,36.59,102558
2018-05-04,36.669,36.88,35.171,35.653,62402
2018-05-07,35.623,36.267,35.623,36.267,65846
2018-05-08,35.943,36.138,35.638,35.848,70747
2018-05-09,35.702,36.267,35.702,36.267,58580
2018-05-10,36.251,36.267,36.01,36.267,39682
2018-05-11,36.251,36.492,36.089,36.138,131818
2018-05-14,36.395,36.509,36.105,36.218,41043
2018-05-15,36.267,36.395,35.623,35.977,97177
2018-05-16,36.509,36.509,36.187,36.428,58234
2018-05-17,36.428,36.492,36.057,36.203,68665
2018-05-18,36.272,37.118,35.667,36.186,55190
