Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2018-03-16,134.39,137.3,134.39,137.3,402
2018-03-19,140.19,140.19,137.78,140.19,102
2018-03-20,140.19,140.19,138.75,138.75,793
2018-03-21,138.27,140.19,135.36,135.36,861
2018-03-22,135.85,135.85,133.44,134.39,7837
2018-03-23,135.36,135.36,129.56,132.46,14344
2018-03-26,132.46,135.36,132.46,135.36,664
2018-03-27,135.36,138.27,135.36,138.27,559
2018-03-28,135.36,135.36,133.44,133.44,3566
2018-03-29,132.46,132.46,129.56,131.02,4633
2018-04-03,136.32,136.32,126.66,126.66,964
2018-04-04,126.66,130.52,126.66,129.56,1159
2018-04-05,131.02,131.02,127.14,127.14,400
2018-04-06,127.63,127.63,123.27,124.73,3011
2018-04-09,125.69,128.6,125.69,128.6,6955
2018-04-10,128.6,131.02,128.6,130.52,1652
2018-04-11,128.6,130.52,126.66,128.6,1546
2018-04-12,128.6,128.6,124.73,125.69,765
2018-04-13,125.69,130.52,124.73,130.52,65800
2018-04-16,131.02,132.46,129.08,131.49,414
2018-04-17,131.49,135.85,130.05,135.36,10350
2018-04-18,137.3,140.19,137.3,139.23,1290
2018-04-19,138.75,139.23,135.36,135.36,936
2018-04-20,139.23,139.23,135.36,137.78,1910
2018-04-23,140.19,141.16,138.75,141.16,885
2018-04-24,142.14,144.55,140.68,141.16,999
2018-04-25,141.16,141.16,136.32,141.16,8897
2018-04-26,138.75,141.16,138.27,141.16,639
2018-04-27,143.1,144.55,143.1,143.1,142
2018-04-30,145.02,145.02,140.19,140.19,648
2018-05-02,138.27,144.55,136.32,144.55,753
2018-05-04,144.55,147.93,144.55,145.02,565
2018-05-07,145.51,145.51,143.58,143.58,450
2018-05-08,143.58,143.58,139.23,140.19,75
2018-05-09,139.23,145.02,139.23,145.02,315
2018-05-10,142.14,145.02,142.14,144.55,141
2018-05-11,145.02,145.51,141.65,145.02,14693
2018-05-14,145.51,147.93,145.51,147.93,164
2018-05-15,147.93,148.9,144.55,144.55,622
2018-05-16,145.02,149.86,144.55,145.02,893
2018-05-17,146.49,146.49,146.49,146.49,16
2018-05-18,143.1,146,143.1,146,1651
2018-05-21,145.02,145.02,143.58,144.55,83
2018-05-22,145.02,145.02,145.02,145.02,3469
2018-05-23,145.02,146,143.58,145.02,585
2018-05-24,145.02,145.51,145.02,145.02,416
2018-05-25,145.02,145.02,145.02,145.02,1538
2018-05-28,145.02,145.02,145.02,145.02,1628
2018-05-29,145.02,145.02,145.02,145.02,500
2018-05-30,145.02,145.02,145.02,145.02,224
2018-06-01,145.02,145.02,145.02,145.02,19
2018-06-04,143.1,143.1,137.3,142.14,436
2018-06-05,142.14,142.14,140.19,140.19,67
2018-06-06,140.19,141.65,139.23,141.16,40
2018-06-07,142.14,142.14,142.14,142.14,76
2018-06-08,138.27,139.72,138.27,139.72,84
2018-06-11,140.19,140.19,137.3,139.23,82
2018-06-12,138.75,138.75,138.27,138.75,59
2018-06-13,138.75,138.75,138.27,138.75,7
2018-06-14,138.75,138.75,138.27,138.75,771
2018-06-15,138.75,138.75,136.8,138.27,806
2018-06-18,137.3,138.27,136.32,136.32,442
2018-06-19,136.32,139.72,136.32,139.23,3079
2018-06-20,140.19,140.19,136.32,138.27,160
2018-06-21,138.75,139.72,138.75,138.75,20992
2018-06-22,140.19,140.19,138.27,138.27,40836
2018-06-25,138.27,140.19,138.27,138.27,786
2018-06-26,139.23,139.72,139.23,139.72,84
2018-06-27,139.72,141.16,134.88,141.16,5429
2018-06-28,145.02,145.02,138.75,145.02,1423
2018-06-29,146,146,144.07,145.02,5648
2018-07-02,147.44,147.44,145.02,146.96,10174
2018-07-03,146.96,149.38,146.96,149.38,480
2018-07-04,148.9,156.63,148.9,152.77,13429
2018-07-05,154.21,154.21,149.86,152.28,915
2018-07-06,151.8,151.8,150.84,151.8,5230
2018-07-09,151.8,151.8,151.8,151.8,58
2018-07-10,151.31,153.25,150.84,153.25,74
2018-07-11,153.25,153.25,149.86,149.86,16002
2018-07-12,150.84,150.84,145.02,149.86,17016
2018-07-13,149.86,154.21,149.86,152.77,2123
2018-07-16,153.25,153.25,148.42,151.8,2384
2018-07-17,152.77,153.73,152.28,152.28,1930
2018-07-18,153.73,153.73,150.84,152.77,34
2018-07-19,150.84,152.28,148.9,151.8,141
2018-07-20,151.8,152.77,150.84,152.77,135
