Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2018-03-16,203.66,209.33,202.2,207.13,54164
2018-03-19,206.59,206.59,190.68,194.69,59463
2018-03-20,193.79,196.36,187.93,191.05,37301
2018-03-21,192.51,199.46,190.86,196.89,102493
2018-03-22,197.81,207.32,195.43,196.53,95165
2018-03-23,193.05,199.46,189.77,191.05,46705
2018-03-26,191.05,193.42,187.4,190.5,30901
2018-03-27,191.96,194.16,188.86,190.13,122097
2018-03-28,187.76,196.36,185.74,194.69,108836
2018-03-29,193.61,202.01,193.05,199.28,66858
2018-04-03,198.36,217.92,196.16,212.08,138321
2018-04-04,210.97,219.38,210.24,218.84,122760
2018-04-05,219.38,239.68,218.84,236.03,170876
2018-04-06,234.92,238.95,227.6,232.73,107202
2018-04-09,233.1,236.2,227.8,234.01,53998
2018-04-10,234.01,234.19,219.93,221.21,119717
2018-04-11,220.31,222.49,215.73,216.64,35839
2018-04-12,216.64,227.43,215.91,223.59,106471
2018-04-13,224.14,225.05,221.03,223.96,37685
2018-04-16,223.96,228.88,221.39,226.88,45731
2018-04-17,227.8,228.34,221.39,222.49,73755
2018-04-18,222.49,226.7,220.48,222.12,16589
2018-04-19,223.04,226.15,219.75,222.49,37512
2018-04-20,223.04,224.87,216.83,218.47,33293
2018-04-23,218.47,218.47,210.24,213.72,52276
2018-04-24,215.4,217.64,213.53,213.9,46454
2018-04-25,213.34,215.21,210.73,213.9,111082
2018-04-26,212.97,213.9,206.06,210.17,85724
2018-04-27,219.51,221.75,210.91,213.9,157516
2018-04-30,212.79,216.15,206.43,214.84,56359
2018-05-02,211.11,214.65,210.17,212.6,27621
2018-05-04,214.84,217.26,207,210.17,52249
2018-05-07,209.23,210.73,201.2,209.23,40557
2018-05-08,208.3,208.3,203.07,205.5,88654
2018-05-09,206.25,209.79,202.69,208.3,45008
2018-05-10,208.3,216.33,206.62,213.9,65666
2018-05-11,212.41,218.95,212.22,217.64,78531
2018-05-14,216.71,220.44,215.4,217.45,83766
2018-05-15,216.9,217.08,211.29,214.84,73880
2018-05-16,212.22,214.84,211.66,213.9,43738
2018-05-17,212.04,214.47,209.23,213.16,30470
2018-05-18,214.65,214.65,210.91,213.9,14756
2018-05-21,213.9,214.09,210.54,212.41,18908
2018-05-22,212.97,213.9,210.91,213.16,20298
2018-05-23,210.91,214.65,210.36,213.34,60627
2018-05-24,212.97,217.08,212.6,215.21,112610
2018-05-25,215.77,221.37,214.84,215.96,21877
2018-05-28,215.58,219.32,214.84,217.08,24542
2018-05-29,216.71,217.64,213.34,217.45,63882
2018-05-30,214.84,217.26,211.47,217.26,104415
2018-06-01,215.96,216.33,212.97,215.21,37833
2018-06-04,216.9,216.9,211.29,211.85,54840
2018-06-05,212.97,214.65,210.73,212.97,64485
2018-06-06,213.53,215.02,202.14,207.18,133395
2018-06-07,207.93,211.11,207,209.42,177234
2018-06-08,207.55,210.73,207.36,209.61,87375
2018-06-11,210.17,212.22,208.3,208.3,113863
2018-06-12,208.3,211.66,208.3,211.66,60434
2018-06-13,211.66,215.77,210.73,212.79,19869
2018-06-14,212.41,219.32,212.41,218.39,38982
2018-06-15,216.33,217.64,208.3,208.3,64838
2018-06-18,209.23,210.54,198.78,199.14,88331
2018-06-19,197.28,202.32,190.56,198.03,87229
2018-06-20,194.47,201.95,194.29,200.83,53117
2018-06-21,199.33,200.64,192.04,196.15,58568
2018-06-22,195.41,197.09,193.72,195.78,54494
2018-06-25,194.29,199.71,194.29,196.15,40080
2018-06-26,198.96,202.14,197.28,199.89,66728
2018-06-27,199.89,200.26,194.47,196.15,30705
2018-06-28,196.53,197.28,185.42,185.6,37493
2018-06-29,187.56,189.24,183.07,186.82,90849
2018-07-02,185.7,185.7,179.53,182.14,45388
2018-07-03,181.49,183.64,177.38,178.5,30420
2018-07-04,178.41,182.14,178.41,179.34,57779
2018-07-05,180.09,183.74,179.16,180.28,32325
2018-07-06,181.12,181.21,165.8,168.13,120405
2018-07-09,168.13,170.56,158.8,170.01,218003
2018-07-10,171.87,210.17,171.03,203.63,518889
2018-07-11,203.63,205.87,197.09,203.25,128919
2018-07-12,204.37,209.23,199.52,202.69,110035
2018-07-13,204.57,205.5,201.39,205.5,114565
2018-07-16,205.5,207.18,202.32,205.31,161678
2018-07-17,203.07,206.43,202.89,204,108101
2018-07-18,201.95,205.12,201.95,202.69,66849
2018-07-19,201.01,204.19,200.26,202.14,63700
2018-07-20,201.76,204.37,198.21,202.69,104834
2018-07-23,200.64,204.19,199.33,204,60009
2018-07-24,204,207.18,203.07,204.19,61766
2018-07-25,202.51,205.87,201.95,203.63,70298
2018-07-26,202.14,205.5,201.76,202.89,49568
2018-07-27,203.63,204.19,201.76,204.19,33390
2018-07-30,202.32,205.31,202.32,203.63,67777
2018-07-31,201.76,204.75,201.2,203.07,38074
2018-08-01,203.44,206.06,201.95,205.12,43652
2018-08-02,202.51,204.19,201.95,201.95,24073
2018-08-03,201.95,205.12,201.95,204,29963
2018-08-06,202.69,203.63,196.15,196.15,32831
2018-08-07,196.15,201.76,196.15,199.89,61969
2018-08-08,198.78,204.37,196.35,196.53,56480
