Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2018-03-16,53.936,54.271,52.45,52.543,735421
2018-03-19,53.286,53.286,51.559,51.782,114370
2018-03-20,51.82,51.856,49.758,50.595,337184
2018-03-21,50.686,53.211,50.483,53.193,284395
2018-03-22,53.101,53.101,50.706,51.318,280016
2018-03-23,51.059,51.299,49.944,51.225,404792
2018-03-26,50.65,51.523,50.501,50.538,113449
2018-03-27,50.798,51.374,49.869,50.333,241349
2018-03-28,49.963,50.13,47.883,48.44,499698
2018-03-29,48.422,49.387,48.422,49.016,266024
2018-04-03,48.923,51.133,48.608,50.575,321914
2018-04-04,50.222,50.371,48.738,49.35,149751
2018-04-05,49.851,50.928,49.461,50.686,178519
2018-04-06,50.427,53.75,50.427,53.619,468896
2018-04-09,53.193,55.7,52.915,53.898,444720
2018-04-10,54.215,54.289,52.543,53.75,307934
2018-04-11,53.75,54.901,53.379,53.583,313683
2018-04-12,53.639,54.845,53.379,53.807,215490
2018-04-13,54.159,54.753,53.807,54.4,120181
2018-04-16,54.4,54.864,52.933,52.933,201403
2018-04-17,53.007,53.565,51.374,51.597,370072
2018-04-18,51.987,52.581,50.353,50.742,535763
2018-04-19,50.854,52.45,50.78,52.079,389439
2018-04-20,52.079,53.249,50.928,51.059,473724
2018-04-23,51.059,52.432,51.059,52.116,239187
2018-04-24,52.098,52.358,50.928,51.299,229813
2018-04-25,51.15,51.652,50.445,51.374,250437
2018-04-26,51.355,51.987,50.742,51.671,262172
2018-04-27,51.708,52.079,50.872,51.671,119337
2018-04-30,51.671,52.45,51.355,51.355,126957
2018-05-02,51.355,52.172,50.928,51.429,344577
2018-05-04,51.523,51.541,49.925,50.52,187214
2018-05-07,50.52,51.523,50.167,50.371,109120
2018-05-08,50.371,51.708,50.148,51.634,324865
2018-05-09,51.225,53.732,51.225,53.379,320860
2018-05-10,54.084,54.084,52.858,53.434,310789
2018-05-11,53.545,54.381,53.193,53.843,247910
2018-05-14,53.843,54.679,53.619,54.679,210385
2018-05-15,54.586,54.715,53.658,54.028,242267
2018-05-16,53.676,53.881,52.692,52.915,214564
2018-05-17,52.933,55.515,52.116,54.827,619279
2018-05-18,54.772,55.198,52.45,52.711,324638
2018-05-21,52.617,53.416,52.543,53.007,142561
2018-05-22,52.915,53.305,51.262,51.615,299134
2018-05-23,51.486,51.894,50.984,51.114,221538
2018-05-24,51.615,52.748,51.076,52.172,251768
2018-05-25,52.172,52.432,51.003,51.987,218407
2018-05-28,51.82,52.19,51.059,51.671,80844
2018-05-29,51.15,51.652,49.572,51.652,319664
2018-05-30,50.872,51.336,48.664,50.668,1079174
2018-06-01,50.668,51.244,49.387,50.538,309067
2018-06-04,50.872,51.876,50.798,51.429,150811
2018-06-05,51.355,53.026,50.724,53.026,239434
2018-06-06,53.007,55.476,52.822,54.772,709591
2018-06-07,54.772,57.315,53.918,54.307,656234
2018-06-08,54.215,54.679,53.211,54.66,222023
2018-06-11,54.345,55.496,53.583,53.787,200007
2018-06-12,54.028,54.586,53.026,53.824,170964
2018-06-13,53.807,54.177,53.119,53.472,168905
2018-06-14,53.193,55.31,52.543,54.772,396964
2018-06-15,54.493,54.753,52.915,53.416,477884
2018-06-18,52.767,53.267,50.891,51.429,203210
2018-06-19,51.299,51.299,49.331,49.499,912563
2018-06-20,50.074,50.891,49.869,50.52,307327
2018-06-21,50.52,51.262,49.294,50.389,327027
2018-06-22,51.059,52.19,49.963,51.987,199346
2018-06-25,51.429,52.34,50.612,50.612,206367
2018-06-26,50.686,51.429,50.408,50.706,195924
2018-06-27,50.78,51.876,49.777,50.891,277057
2018-06-28,50.222,51.021,49.963,50.595,263590
2018-06-29,50.612,52.896,50.612,52.841,312915
2018-07-02,51.82,53.658,51.355,52.785,375169
2018-07-03,53.342,54.196,52.562,53.119,187498
2018-07-04,53.193,54.14,53.193,54.01,79467
2018-07-05,54.01,54.698,53.081,53.193,161291
2018-07-06,53.231,53.619,52.543,52.915,199037
2018-07-09,53.713,54.01,52.19,52.19,130572
2018-07-10,52.19,53.695,52.19,52.915,293631
2018-07-11,52.97,53.75,52.654,53.101,210622
2018-07-12,53.193,53.75,52.729,52.841,112937
2018-07-13,53.137,53.342,52.506,52.878,167294
2018-07-16,52.729,53.545,52.414,53.175,109373
2018-07-17,53.545,53.565,52.673,53.416,225569
2018-07-18,53.545,55.106,52.915,54.753,314224
2018-07-19,54.363,55.032,54.028,55.032,285833
2018-07-20,54.772,55.959,54.679,55.7,218507
2018-07-23,55.829,56.555,55.681,56.276,194911
2018-07-24,56.35,56.591,55.328,55.7,297009
2018-07-25,55.7,57.872,55.589,57.872,543922
2018-07-26,60.341,62.253,59.432,61.455,744469
2018-07-27,61.492,61.715,59.821,59.877,232647
2018-07-30,59.71,61.122,59.71,61.122,205957
2018-07-31,60.732,60.824,59.932,60.527,292479
2018-08-01,60.341,61.158,59.932,61.14,134721
2018-08-02,60.954,62.05,60.305,61.994,114500
2018-08-03,62.087,63.033,61.455,62.458,195415
2018-08-06,62.253,62.253,60.23,60.805,291209
2018-08-07,60.805,61.752,60.434,60.453,151839
2018-08-08,60.713,61.122,59.468,59.858,199910
2018-08-09,60.211,60.434,59.06,60.341,212949
2018-08-10,60.713,60.713,58.206,58.763,282065
2018-08-13,58.485,62.532,58.076,61.919,494561
2018-08-14,61.957,62.922,61.586,62.755,266211
2018-08-16,61.511,62.848,60.62,61.808,312619
2018-08-17,62.105,62.327,61.325,61.566,226431
2018-08-20,61.566,62.013,60.898,61.734,240431
2018-08-21,61.641,62.7,61.641,62.198,262171
2018-08-22,62.216,63.87,61.939,62.755,289345
2018-08-23,62.755,66.375,62.421,65.354,514984
2018-08-24,65.41,65.781,64.798,65.41,179682
2018-08-27,65.151,66.506,64.667,65.336,303635
2018-08-28,65.354,65.856,64.723,65.28,163882
