Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2018-03-16,5.92,6.01,5.91,6,6381054
2018-03-19,6.01,6.01,5.85,5.88,907543
2018-03-20,5.88,5.97,5.82,5.91,1647773
2018-03-21,5.9,5.98,5.89,5.96,2671173
2018-03-22,5.93,6,5.91,5.94,3878473
2018-03-23,5.85,5.92,5.79,5.8,2063780
2018-03-26,5.8,5.82,5.67,5.72,1410173
2018-03-27,5.84,5.88,5.76,5.76,2384119
2018-03-28,5.71,5.81,5.71,5.75,2567853
2018-03-29,5.8,5.87,5.77,5.8,1581630
2018-04-03,5.75,5.85,5.75,5.78,797430
2018-04-04,5.77,5.83,5.75,5.78,809926
2018-04-05,5.83,5.88,5.79,5.83,454893
2018-04-06,5.85,5.85,5.73,5.81,966691
2018-04-09,5.81,5.91,5.81,5.89,1356391
2018-04-10,5.89,5.94,5.87,5.9,1199234
2018-04-11,5.86,5.91,5.8,5.88,1854038
2018-04-12,5.84,5.98,5.84,5.89,955005
2018-04-13,5.9,5.91,5.76,5.77,890041
2018-04-16,5.78,5.84,5.69,5.75,507020
2018-04-17,5.76,5.81,5.73,5.76,1609815
2018-04-18,5.75,5.81,5.67,5.74,1094724
2018-04-19,5.69,5.81,5.6,5.6,1272397
2018-04-20,5.65,5.71,5.63,5.63,1376983
2018-04-23,5.63,5.69,5.44,5.45,2255171
2018-04-24,5.47,5.55,5.41,5.44,1726918
2018-04-25,5.43,5.53,5.35,5.38,1700461
2018-04-26,5.4,5.52,5.11,5.15,3775629
2018-04-27,5.16,5.3,5.16,5.28,980738
2018-04-30,5.25,5.38,5.23,5.27,1562678
2018-05-02,5.31,5.33,5.21,5.23,1591951
2018-05-04,5.21,5.27,5.15,5.16,1230162
2018-05-07,5.16,5.23,5.16,5.22,845609
2018-05-08,5.2,5.34,5.2,5.33,2271183
2018-05-09,5.31,5.35,5.23,5.23,1677834
2018-05-10,5.24,5.3,5.21,5.25,1863396
2018-05-11,5.25,5.29,5.24,5.25,707222
2018-05-14,5.25,5.28,5.25,5.28,506773
2018-05-15,5.28,5.28,5.12,5.13,7790563
2018-05-16,5.11,5.18,5.1,5.13,963272
2018-05-17,5.12,5.22,5.08,5.08,1526246
2018-05-18,5.07,5.11,5.01,5.01,1613798
2018-05-21,5.03,5.17,5.03,5.14,1599199
2018-05-22,5.12,5.14,5.01,5.03,1104152
2018-05-23,5,5.06,4.99,5,1481269
2018-05-24,5.05,5.12,4.98,4.99,1021731
2018-05-25,5.01,5.04,4.86,4.86,1547403
2018-05-28,4.87,5.03,4.86,5,417843
2018-05-29,5.02,5.04,4.86,5.04,1460186
2018-05-30,5.01,5.04,4.87,5.01,3768052
2018-06-01,4.98,5.08,4.95,5.03,1721310
2018-06-04,5.09,5.11,4.97,4.97,1144449
2018-06-05,5,5.11,4.97,5.08,2138199
2018-06-06,5.11,5.15,5.02,5.07,1326053
2018-06-07,5.04,5.11,4.98,4.98,1430669
2018-06-08,5,5.01,4.94,4.97,1138906
2018-06-11,4.97,5.03,4.91,5.03,1299581
2018-06-12,5.03,5.07,5.01,5.03,1260300
2018-06-13,5.02,5.05,4.95,5,1239271
2018-06-14,5.01,5.12,4.97,5.12,1155341
2018-06-15,5.11,5.11,4.86,4.86,4273146
2018-06-18,4.85,4.9,4.75,4.8,1038586
2018-06-19,4.75,4.75,4.52,4.56,3054777
2018-06-20,4.59,4.68,4.56,4.65,1678637
2018-06-21,4.69,4.72,4.6,4.65,2208536
2018-06-22,4.69,4.83,4.66,4.76,2494635
2018-06-25,4.73,4.85,4.73,4.76,1415978
2018-06-26,4.78,4.83,4.58,4.66,1306977
2018-06-27,4.64,4.7,4.58,4.61,1435582
2018-06-28,4.6,4.65,4.51,4.51,1792964
2018-06-29,4.55,4.67,4.53,4.64,1264963
2018-07-02,4.64,4.65,4.57,4.63,945943
2018-07-03,4.68,4.68,4.62,4.62,698547
2018-07-04,4.62,4.75,4.62,4.74,585077
2018-07-05,4.7,4.82,4.7,4.72,736410
2018-07-06,4.73,4.74,4.64,4.65,922739
2018-07-09,4.66,4.73,4.6,4.62,645234
2018-07-10,4.64,4.66,4.55,4.55,1424593
2018-07-11,4.56,4.6,4.55,4.6,589412
2018-07-12,4.58,4.63,4.52,4.52,1136143
2018-07-13,4.56,4.6,4.52,4.58,774914
2018-07-16,4.58,4.58,4.54,4.54,1051210
2018-07-17,4.55,4.55,4.49,4.49,1718095
2018-07-18,4.5,4.53,4.42,4.45,1314478
2018-07-19,4.47,4.47,4.31,4.32,5124258
2018-07-20,4.36,4.45,4.34,4.43,1822025
2018-07-23,4.46,4.66,4.42,4.58,2531135
2018-07-24,4.62,4.74,4.54,4.72,2589470
2018-07-25,4.81,5.07,4.81,4.97,3045946
2018-07-26,5,5,4.92,4.95,4776497
2018-07-27,4.95,4.96,4.93,4.96,779574
2018-07-30,4.93,5.12,4.93,5.1,1787370
2018-07-31,5.1,5.1,4.97,4.98,2576328
2018-08-01,4.97,5.03,4.97,5.01,1035441
2018-08-02,4.98,5.06,4.95,4.95,2629009
2018-08-03,4.97,4.98,4.92,4.96,1977850
2018-08-06,4.94,5.05,4.94,5.01,1112455
2018-08-07,5,5.03,4.98,5.01,1005603
2018-08-08,5,5.03,4.96,5.03,2545414
2018-08-09,4.98,5.04,4.98,5,853806
2018-08-10,4.99,4.99,4.84,4.84,2269868
2018-08-13,4.84,4.86,4.78,4.82,905744
2018-08-14,4.84,4.95,4.84,4.95,705073
2018-08-16,4.9,4.92,4.82,4.86,1689011
2018-08-17,4.84,4.89,4.84,4.87,2200167
2018-08-20,4.88,4.9,4.76,4.8,1485057
2018-08-21,4.81,4.87,4.79,4.83,922689
2018-08-22,4.81,4.99,4.8,4.89,1435372
2018-08-23,4.9,4.95,4.85,4.94,795404
2018-08-24,4.95,4.95,4.83,4.86,1216840
2018-08-27,4.88,5.01,4.88,5.01,1009461
2018-08-28,5.01,5.07,4.95,5.07,905903
2018-08-29,5.04,5.05,4.94,4.98,1428822
2018-08-30,4.95,4.97,4.84,4.84,1553084
2018-08-31,4.84,4.87,4.81,4.86,1229897
2018-09-03,4.85,4.91,4.83,4.9,1451391
2018-09-04,4.9,4.93,4.74,4.74,1589391
2018-09-05,4.73,4.78,4.64,4.65,1751299
2018-09-06,4.66,4.66,4.54,4.6,1497043
2018-09-07,4.62,4.63,4.51,4.51,2664258
2018-09-10,4.51,4.59,4.5,4.58,1399145
2018-09-11,4.58,4.62,4.54,4.55,1633399
2018-09-12,4.52,4.57,4.38,4.42,4870477
2018-09-13,4.42,4.48,4.39,4.39,2872723
2018-09-14,4.42,4.44,4.39,4.39,1915302
2018-09-17,4.37,4.37,4.25,4.26,2694470
2018-09-18,4.26,4.38,4.23,4.35,1920332
2018-09-19,4.34,4.41,4.3,4.35,1389713
2018-09-20,4.37,4.55,4.36,4.43,1499667
